Region,Lobe,Hemisphere,Region_Type,Degree,Degree_Cent,Strength,Betweenness,Closeness,Eigenvector,Complex_Close_T2,Complex_Close_T3,Complex_Btwn_T2,Degree_Cent_n,Strength_n,Betweenness_n,Closeness_n,Eigenvector_n,Complex_Close_T2_n,Complex_Close_T3_n,Composite_Hub
R_postcentral,Parietal,R,Cortical,24,0.2962962962962963,196.71169304485846,0.005864197530864197,5.015228378056614,0.10957764379072071,0.5364238410596026,0.43783783783783786,0.9629629629629629,0.391304347826087,0.4431707465521121,0.06050955414012739,0.6433878277549189,0.4975591907806472,0.551876379690949,0.3366093366093367,0.41777391190773977
R_posteriorcingulate,Cingulate,R,Cortical,27,0.3333333333333333,171.06245663636093,0.0,4.424533594350514,0.10329898019165681,0.5364238410596026,0.4909090909090909,1.0,0.45652173913043476,0.3696054609378203,0.0,0.4112119896313883,0.46352940658251796,0.551876379690949,0.5661157024793387,0.40269438263606416
R_precentral,Frontal,R,Cortical,26,0.32098765432098764,224.0986283221934,0.02037037037037037,5.157160226786039,0.12596247383208936,0.5364238410596026,0.44021739130434784,0.9629629629629629,0.43478260869565216,0.5217199744390598,0.21019108280254778,0.6991749226204328,0.5863634755832172,0.551876379690949,0.34689970355731226,0.47871544962702445
R_precuneus,Parietal,R,Cortical,42,0.5185185185185185,303.6013547913379,0.028086419753086418,5.417263833954432,0.16007449214462843,0.627906976744186,0.5912408759124088,0.9876543209876543,0.782608695652174,0.7497439470310817,0.2898089171974522,0.8014100779986155,0.77124750439333,0.919300337904989,1.0,0.7591599257396632
R_rostralanteriorcingulate,Cingulate,R,Cortical,23,0.2839506172839506,145.08567325910727,0.0,4.295324722888182,0.08469971045479978,0.5547945205479452,0.5472972972972973,0.9876543209876543,0.3695652173913043,0.295100728786997,0.0,0.360425731055439,0.36272306055015435,0.6256585879873551,0.8099662162162159,0.4033485059982094
R_rostralmiddlefrontal,Frontal,R,Cortical,36,0.4444444444444444,269.74519654676635,0.022222222222222223,5.255394487406645,0.15056055239093066,0.5704225352112676,0.5664335664335665,0.9876543209876543,0.6521739130434783,0.6526401615071031,0.22929936305732487,0.7377864398052237,0.7196828184399995,0.6884254243409172,0.8927209154481881,0.6532470050917478
R_superiorfrontal,Frontal,R,Cortical,45,0.5555555555555556,374.0212911542987,0.08148148148148147,5.922510340097787,0.2022804596876016,0.648,0.5664335664335665,0.9629629629629629,0.8478260869565218,0.9517173176599707,0.8407643312101911,1.0,1.0,1.0,0.8927209154481881,0.9332898073249817
R_superiorparietal,Parietal,R,Cortical,49,0.6049382716049383,390.85550750287507,0.09691358024691357,5.921592643818019,0.1953153962609163,0.5785714285714286,0.49693251533742333,0.9753086419753086,0.9347826086956522,1.0,1.0,0.999639294422813,0.9622499913243128,0.7211538461538463,0.5921639709983267,0.8871413873707071
R_superiortemporal,Temporal,R,Cortical,20,0.24691358024691357,158.67187459433055,0.0033950617283950617,4.353386033515698,0.07510739602876824,0.5364238410596026,0.48502994011976047,0.9876543209876543,0.30434782608695654,0.33406768927350294,0.03503184713375797,0.38324704898365247,0.31073359101923026,0.551876379690949,0.54069134458356,0.3514279609673728
R_supramarginal,Parietal,R,Cortical,19,0.2345679012345679,153.3084111339434,0.003703703703703704,4.585693705582879,0.07799925567333274,0.525974025974026,0.47928994082840237,1.0,0.2826086956521739,0.3186845911156771,0.038216560509554146,0.47455685897777633,0.32640720660368056,0.5099067599067598,0.5158687466379773,0.3523213456290856
